model,pearson_f1_vs_kappa,pearson_p_value,spearman_f1_vs_kappa,spearman_p_value,pearson_f1_vs_support,support_p_value,n_themes
GPT-4.1 (L),-0.0989,0.6698,0.0385,0.8684,0.4296,0.052,21
GPT-5 (L),0.0053,0.9818,0.0589,0.7997,0.2258,0.3251,21
GPT-OSS (L),0.1909,0.4072,0.1629,0.4806,0.2917,0.1995,21
Gemma (L),0.3571,0.112,0.4138,0.0622,0.4426,0.0445,21
Llama (L),0.1728,0.4539,0.2918,0.1994,0.2138,0.3521,21
Nemotron (L),0.0184,0.937,0.1361,0.5565,0.221,0.3358,21
Manual,-0.0081,0.9722,0.0773,0.7392,0.5218,0.0153,21
