entity,category,f1,ci_lower,ci_upper,support,pct_human,pct_ci_lower,pct_ci_upper
Llama (S),Substantial,0.01834862385321101,0.0,0.06107259697772236,83,2.2147451643492864,0.0,7.371683016271158
Llama (S),Moderate,0.0,0.0,0.0,107,0.0,0.0,0.0
Llama (S),Fair,0.0392156862745098,0.0,0.12312499999999973,9,5.945604048070842,0.0,18.66733870967738
Nemotron (S),Overall,0.0,0.0,0.0,219,0.0,0.0,0.0
Nemotron (S),Almost Perfect,0.0,0.0,0.0,20,0.0,0.0,0.0
Nemotron (S),Substantial,0.0,0.0,0.0,83,0.0,0.0,0.0
Nemotron (S),Moderate,0.0,0.0,0.0,107,0.0,0.0,0.0
Nemotron (S),Fair,0.0,0.0,0.0,9,0.0,0.0,0.0
Manual,Overall,0.11031175059952038,0.0669816491760971,0.1507760532150776,219,13.992896905695899,8.496531932462076,19.12573916214754
Manual,Almost Perfect,0.05128205128205128,0.0,0.15794736842105236,20,5.828054298642534,0.0,17.950253869969007
Manual,Substantial,0.10810810810810811,0.041659482758620685,0.1818181818181818,83,13.049039076436337,5.028450020397646,21.94611117400656
Manual,Moderate,0.12903225806451613,0.07079422544024314,0.18905808793868492,107,16.951910140483715,9.300754447993146,24.837941815028973
Manual,Fair,0.0,0.0,0.0,9,0.0,0.0,0.0
