Pipeline,F1_all,Precision_all,Recall_all,Support_all,F1_high,Precision_high,Recall_high,Support_high,F1_medium,Precision_medium,Recall_medium,Support_medium,F1_low,Precision_low,Recall_low,Support_low
gpt_4_1_large,0.1309,0.1185,0.1461,219,0.1173,0.1092,0.1267,150,0.1739,0.15,0.2069,58,0.0741,0.0625,0.0909,11
gpt_5_large,0.1224,0.1216,0.1233,219,0.1293,0.1319,0.1267,150,0.1085,0.0986,0.1207,58,0.1111,0.1429,0.0909,11
gpt_oss_large,0.1237,0.116,0.1324,219,0.121,0.1159,0.1267,150,0.1333,0.1169,0.1552,58,0.1,0.1111,0.0909,11
gemma_large,0.109,0.1008,0.1187,219,0.1083,0.1037,0.1133,150,0.1314,0.1139,0.1552,58,0.0,0.0,0.0,11
llama_large,0.1126,0.098,0.1324,219,0.1183,0.1024,0.14,150,0.1045,0.0921,0.1207,58,0.0769,0.0667,0.0909,11
nemotron_large,0.1041,0.0992,0.1096,219,0.0965,0.0932,0.1,150,0.125,0.1143,0.1379,58,0.0909,0.0909,0.0909,11
manual_manual,0.1103,0.1162,0.105,219,0.1075,0.1163,0.1,150,0.127,0.1176,0.1379,58,0.0,0.0,0.0,11
