Model,Almost Perfect F1,Almost Perfect Prec,Almost Perfect Rec,Almost Perfect N,Substantial F1,Substantial Prec,Substantial Rec,Substantial N,Moderate F1,Moderate Prec,Moderate Rec,Moderate N,Fair F1,Fair Prec,Fair Rec,Fair N,Overall F1,Overall Prec,Overall Rec,Overall N
GPT-4.1 (L),0.098,0.095,0.100,20,0.138,0.123,0.157,83,0.132,0.119,0.150,107,0.118,0.125,0.111,9,0.131,0.119,0.146,219
GPT-5 (L),0.100,0.100,0.100,20,0.129,0.126,0.133,83,0.123,0.124,0.121,107,0.105,0.100,0.111,9,0.122,0.122,0.123,219
GPT-OSS (L),0.103,0.105,0.100,20,0.144,0.125,0.169,83,0.112,0.111,0.112,107,0.100,0.091,0.111,9,0.124,0.116,0.132,219
Gemma (L),0.093,0.087,0.100,20,0.139,0.125,0.157,83,0.096,0.090,0.103,107,0.000,0.000,0.000,9,0.109,0.101,0.119,219
Llama (L),0.098,0.095,0.100,20,0.164,0.131,0.217,83,0.070,0.066,0.075,107,0.080,0.062,0.111,9,0.113,0.098,0.132,219
Manual,0.051,0.053,0.050,20,0.108,0.123,0.096,83,0.129,0.127,0.131,107,0.000,0.000,0.000,9,0.110,0.116,0.105,219
Nemotron (L),0.100,0.100,0.100,20,0.125,0.118,0.133,83,0.088,0.083,0.093,107,0.111,0.111,0.111,9,0.104,0.099,0.110,219
