Model,Overall_Mean,Overall_CI_Lower,Overall_CI_Upper,Almost Perfect_Mean,Almost Perfect_CI_Lower,Almost Perfect_CI_Upper,Substantial_Mean,Substantial_CI_Lower,Substantial_CI_Upper,Moderate_Mean,Moderate_CI_Lower,Moderate_CI_Upper,Fair_Mean,Fair_CI_Lower,Fair_CI_Upper
Llama,20.99,14.88,27.71,79.38,74.03,84.34,47.62,40.48,54.97,51.94,44.44,59.44,94.91,90.76,98.8
Gemma,23.0,16.6,29.84,82.6,77.51,87.55,52.31,45.34,59.76,55.99,48.06,63.89,93.57,89.16,97.72
GPT-OSS,25.15,18.91,31.75,83.0,78.05,87.82,53.54,46.1,60.83,59.13,51.33,67.11,96.65,92.9,100.27
Manual,25.92,19.45,32.72,84.07,79.25,88.62,57.67,50.48,64.6,58.67,50.74,66.49,98.8,95.58,101.87
Nemotron,26.8,20.05,34.0,83.53,78.71,88.22,54.67,47.41,61.94,55.59,47.86,63.26,95.98,91.97,99.87
GPT-4.1,27.85,21.03,35.07,82.2,77.11,86.88,54.39,47.01,61.37,56.82,49.1,64.41,93.71,89.42,97.86
GPT-5,28.22,21.16,35.7,83.8,78.85,88.49,56.9,49.5,64.19,54.96,47.43,62.52,97.99,94.51,101.34
