Model,Almost_Perfect_TP,Almost_Perfect_FP,Almost_Perfect_FN,Almost_Perfect_Support,Almost_Perfect_Precision,Almost_Perfect_Recall,Almost_Perfect_F1,Almost_Perfect_Pct_Both_Empty,Almost_Perfect_N_Themes,Substantial_TP,Substantial_FP,Substantial_FN,Substantial_Support,Substantial_Precision,Substantial_Recall,Substantial_F1,Substantial_Pct_Both_Empty,Substantial_N_Themes,Moderate_TP,Moderate_FP,Moderate_FN,Moderate_Support,Moderate_Precision,Moderate_Recall,Moderate_F1,Moderate_Pct_Both_Empty,Moderate_N_Themes,Fair_TP,Fair_FP,Fair_FN,Fair_Support,Fair_Precision,Fair_Recall,Fair_F1,Fair_Pct_Both_Empty,Fair_N_Themes,Overall_TP,Overall_FP,Overall_FN,Overall_Support,Overall_Precision,Overall_Recall,Overall_F1
GPT-4.1,3,26,22,25,0.1034,0.12,0.1111,79.9,3,15,104,82,97,0.1261,0.1546,0.1389,43.8,9,13,93,73,86,0.1226,0.1512,0.1354,43.4,7,1,15,10,11,0.0625,0.0909,0.0741,90.0,3,32,238,187,219,0.1185,0.1461,0.1309
GPT-5,3,22,22,25,0.12,0.12,0.12,81.5,3,13,83,84,97,0.1354,0.134,0.1347,46.6,9,10,84,76,86,0.1064,0.1163,0.1111,42.6,7,1,6,10,11,0.1429,0.0909,0.1111,94.0,3,27,195,192,219,0.1216,0.1233,0.1224
GPT-OSS,3,24,22,25,0.1111,0.12,0.1154,80.7,3,14,104,83,97,0.1186,0.1443,0.1302,43.4,9,11,85,75,86,0.1146,0.1279,0.1209,45.4,7,1,8,10,11,0.1111,0.0909,0.1,92.8,3,29,221,190,219,0.116,0.1324,0.1237
Gemma,3,26,22,25,0.1034,0.12,0.1111,80.3,3,13,104,84,97,0.1111,0.134,0.1215,42.6,9,10,87,76,86,0.1031,0.1163,0.1093,43.4,7,0,15,11,11,0.0,0.0,0.0,90.4,3,26,232,193,219,0.1008,0.1187,0.109
Llama,3,34,22,25,0.0811,0.12,0.0968,77.1,3,17,124,80,97,0.1206,0.1753,0.1429,36.9,9,8,95,78,86,0.0777,0.093,0.0847,41.0,7,1,14,10,11,0.0667,0.0909,0.0769,91.2,3,29,267,190,219,0.098,0.1324,0.1126
Nemotron,3,25,22,25,0.1071,0.12,0.1132,81.1,3,11,93,86,97,0.1058,0.1134,0.1095,45.4,9,9,90,77,86,0.0909,0.1047,0.0973,43.8,7,1,10,10,11,0.0909,0.0909,0.0909,92.0,3,24,218,195,219,0.0992,0.1096,0.1041
Manual,2,20,23,25,0.0909,0.08,0.0851,82.3,3,8,69,89,97,0.1039,0.0825,0.092,50.2,9,13,85,73,86,0.1327,0.1512,0.1413,44.2,7,0,1,11,11,0.0,0.0,0.0,95.6,3,23,175,196,219,0.1162,0.105,0.1103
