tp,fp,fn,precision,recall,f1,threshold,avg_models_voted
1051,1422,124,0.42498989082086536,0.894468085106383,0.5762061403508772,1,4.1692307692307695
966,772,209,0.5558112773302647,0.8221276595744681,0.6632337796086509,2,4.1692307692307695
888,497,287,0.6411552346570397,0.7557446808510638,0.69375,3,4.1692307692307695
815,324,360,0.7155399473222125,0.6936170212765957,0.7044079515989629,4,4.1692307692307695
694,184,481,0.7904328018223234,0.5906382978723405,0.6760837798343887,5,4.1692307692307695
530,88,645,0.8576051779935275,0.451063829787234,0.5911879531511434,6,4.1692307692307695
